harvest_year,crop,plot,sub_plot,sub_sub_plot,old_plot_notation,fertilizer_code,fertilizer_n_amount,fertilizer_n_type,fertilizer_n_date,fertilizer_p_amount,fertilizer_k_amount,sow_date,harvest_date,cultivar,plot_area,bushel_weight,hectolitre_weight,grain_yield,straw_yield,note_id
1938,spring barley,9,b,*,9b,None,0.000,*,*,0,0,1938-02-24,1938-08-23,Plumage Archer,0.050,23.179,63.733,1.168,0.750,*
1939,spring barley,9,b,*,9b,None,0.000,*,*,0,0,1939-02-27,1939-08-17,Plumage Archer,0.050,*,*,0.641,1.588,*
1940,spring barley,9,b,*,9b,None,0.000,*,*,0,0,1940-03-09,1940-08-08,Plumage Archer,0.050,*,*,0.089,0.834,*
1941,spring barley,9,b,*,9b,N,52.687,ammonium sulphate,1941-03-21,0,0,1941-03-18,1941-09-10,Plumage Archer,0.050,*,*,0.966,1.681,*
1942,spring barley,9,b,*,9b,N,52.687,ammonium sulphate,1942-05-07,0,0,1942-04-13,1942-09-04,Plumage Archer,0.050,*,*,1.435,1.774,*
1927,fallow,10,a,*,10a,None,0.000,*,*,0,0,*,*,*,0.050,*,*,*,*,10
1928,fallow,10,a,*,10a,None,0.000,*,*,0,0,*,*,*,0.050,*,*,*,*,10
1929,spring barley,10,a,*,10a,None,0.000,*,*,0,0,1929-03-21,1929-08-20,Plumage Archer,0.050,23.179,63.733,1.269,1.275,*
1930,spring barley,10,a,*,10a,None,0.000,*,*,0,0,1930-03-03,1930-08-25,Plumage Archer,0.050,20.866,57.372,0.488,0.832,*
1931,spring barley,10,a,*,10a,N*P,45.961,sodium nitrate,*,27,0,1931-03-19,1931-08-24,Plumage ,0.025,21.183,58.245,1.323,2.274,"1,3"
1931,spring barley,10,a,*,10a,N*P,45.961,sodium nitrate,*,27,0,1931-03-19,1931-08-24,Archer,0.025,22.680,62.361,1.690,2.571,"1,3"
1932,spring barley,10,a,*,10a,N*P,45.961,sodium nitrate,*,27,0,1932-03-16,1932-08-20,Plumage ,0.025,19.369,53.256,0.115,1.025,"3,4"
1932,spring barley,10,a,*,10a,N*P,45.961,sodium nitrate,*,27,0,1932-03-16,1932-08-20,Archer,0.025,20.049,55.127,0.172,1.082,"3,5"
1933,spring barley,10,a,*,10a,None,0.000,*,*,0,0,1933-03-23,1933-08-08,Plumage Archer,0.050,*,*,0.061,0.919,6
1934,fallow,10,a,*,10a,None,0.000,*,*,0,0,*,*,*,0.050,*,*,*,*,10
1935,fallow,10,a,*,10a,None,0.000,*,*,0,0,*,*,*,0.050,*,*,*,*,10
1936,spring barley,10,a,*,10a,None,0.000,*,*,0,0,1936-03-19,1936-09-01,Plumage Archer,0.050,21.546,59.243,0.926,1.753,7
1937,spring barley,10,a,*,10a,None,0.000,*,*,0,0,1937-03-31,1937-08-23,Plumage Archer,0.050,19.505,53.630,0.126,0.399,8
1938,spring barley,10,a,*,10a,None,0.000,*,*,0,0,1938-02-24,1938-08-23,Plumage Archer,0.050,24.132,66.352,0.571,0.569,*
1939,spring barley,10,a,*,10a,None,0.000,*,*,0,0,1939-02-27,1939-08-17,Plumage Archer,0.050,*,*,0.387,1.044,*
1940,spring barley,10,a,*,10a,None,0.000,*,*,0,0,1940-03-09,1940-08-08,Plumage Archer,0.050,*,*,0.019,0.314,*
1941,spring barley,10,a,*,10a,N,52.687,ammonium sulphate,1941-03-21,0,0,1941-03-18,1941-09-10,Plumage Archer,0.050,*,*,0.333,0.834,*
1942,spring barley,10,a,*,10a,N,52.687,ammonium sulphate,1942-05-07,0,0,1942-04-13,1942-09-04,Plumage Archer,0.050,*,*,0.229,0.565,*
1927,fallow,10,b,*,10b,None,0.000,*,*,0,0,*,*,*,0.050,*,*,*,*,10
1928,fallow,10,b,*,10b,None,0.000,*,*,0,0,*,*,*,0.050,*,*,*,*,10
1929,spring barley,10,b,*,10b,None,0.000,*,*,0,0,1929-03-21,1929-08-20,Plumage Archer,0.050,*,*,0.345,0.560,*
1930,spring barley,10,b,*,10b,None,0.000,*,*,0,0,1930-03-03,1930-08-25,Plumage Archer,0.050,21.319,58.619,0.173,0.208,*
1931,spring barley,10,b,*,10b,None,0.000,*,*,0,0,1931-03-19,1931-08-24,Plumage ,0.025,19.505,53.630,0.296,1.190,"1,3"
1931,spring barley,10,b,*,10b,None,0.000,*,*,0,0,1931-03-19,1931-08-24,Archer,0.025,21.773,59.866,0.315,1.094,"1,3"
1932,spring barley,10,b,*,10b,None,0.000,*,*,0,0,1932-03-16,1932-08-20,Plumage ,0.025,*,*,0.000,0.000,"3,4"
1932,spring barley,10,b,*,10b,None,0.000,*,*,0,0,1932-03-16,1932-08-20,Archer,0.025,*,*,0.000,0.000,"3,5"
1933,spring barley,10,b,*,10b,None,0.000,*,*,0,0,1933-03-23,1933-08-08,Plumage Archer,0.050,*,*,0.049,0.793,6
1934,fallow,10,b,*,10b,None,0.000,*,*,0,0,*,*,*,0.050,*,*,*,*,10
1935,fallow,10,b,*,10b,None,0.000,*,*,0,0,*,*,*,0.050,*,*,*,*,10
1936,spring barley,10,b,*,10b,None,0.000,*,*,0,0,1936-03-19,1936-09-01,Plumage Archer,0.050,21.183,58.245,0.541,1.186,7
1937,spring barley,10,b,*,10b,None,0.000,*,*,0,0,1937-03-31,1937-08-23,Plumage Archer,0.050,20.321,55.875,0.087,0.316,8
1938,spring barley,10,b,*,10b,None,0.000,*,*,0,0,1938-02-24,1938-08-23,Plumage Archer,0.050,24.313,66.851,0.486,0.399,*
1939,spring barley,10,b,*,10b,None,0.000,*,*,0,0,1939-02-27,1939-08-17,Plumage Archer,0.050,*,*,0.323,1.358,*
1940,spring barley,10,b,*,10b,None,0.000,*,*,0,0,1940-03-09,1940-08-08,Plumage Archer,0.050,*,*,0.019,0.314,*
1941,spring barley,10,b,*,10b,N,52.687,ammonium sulphate,1941-03-21,0,0,1941-03-18,1941-09-10,Plumage Archer,0.050,*,*,0.215,0.769,*
1942,spring barley,10,b,*,10b,N,52.687,ammonium sulphate,1942-05-07,0,0,1942-04-13,1942-09-04,Plumage Archer,0.050,*,*,0.152,0.695,*
1927,fallow,11,a,*,11a,None,0.000,*,*,0,0,*,*,*,0.050,*,*,*,*,10
1928,fallow,11,a,*,11a,None,0.000,*,*,0,0,*,*,*,0.050,*,*,*,*,10
1929,spring barley,11,a,*,11a,None,0.000,*,*,0,0,1929-03-21,1929-08-20,Plumage Archer,0.050,23.678,65.105,1.806,2.011,*
1930,spring barley,11,a,*,11a,None,0.000,*,*,0,0,1930-03-03,1930-08-25,Plumage Archer,0.050,21.319,58.619,0.887,1.155,*
1931,spring barley,11,a,*,11a,N*K ,45.961,sodium nitrate,*,0,76,1931-03-19,1931-08-24,Plumage ,0.025,19.732,54.254,1.096,2.476,"1,3"
1931,spring barley,11,a,*,11a,N*K ,45.961,sodium nitrate,*,0,76,1931-03-19,1931-08-24,Archer,0.025,20.775,57.122,1.520,2.801,"1,3"
1932,spring barley,11,a,*,11a,N*K,45.961,sodium nitrate,*,0,76,1932-03-16,1932-08-20,Plumage ,0.025,19.369,53.256,0.207,1.579,"3,4"
1932,spring barley,11,a,*,11a,N*K ,45.961,sodium nitrate,*,0,76,1932-03-16,1932-08-20,Archer,0.025,18.598,51.136,0.306,1.718,3
1933,spring barley,11,a,*,11a,None,0.000,*,*,0,0,1933-03-23,1933-08-08,Plumage Archer,0.050,*,*,0.045,1.447,6
1934,fallow,11,a,*,11a,None,0.000,*,*,0,0,*,*,*,0.050,*,*,*,*,10
1935,fallow,11,a,*,11a,None,0.000,*,*,0,0,*,*,*,0.050,*,*,*,*,10
1936,spring barley,11,a,*,11a,None,0.000,*,*,0,0,1936-03-19,1936-09-01,Plumage Archer,0.050,21.864,60.116,1.317,2.197,7
1937,spring barley,11,a,*,11a,None,0.000,*,*,0,0,1937-03-31,1937-08-23,Plumage Archer,0.050,21.773,59.866,0.215,0.551,8
1938,spring barley,11,a,*,11a,None,0.000,*,*,0,0,1938-02-24,1938-08-23,Plumage Archer,0.050,24.494,67.350,0.893,0.686,*
1939,spring barley,11,a,*,11a,None,0.000,*,*,0,0,1939-02-27,1939-08-17,Plumage Archer,0.050,*,*,0.498,1.084,*
1940,spring barley,11,a,*,11a,None,0.000,*,*,0,0,1940-03-09,1940-08-08,Plumage Archer,0.050,*,*,0.085,0.608,*
1941,spring barley,11,a,*,11a,N,52.687,ammonium sulphate,1941-03-21,0,0,1941-03-18,1941-09-10,Plumage Archer,0.050,*,*,0.757,1.676,*
1942,spring barley,11,a,*,11a,N,52.687,ammonium sulphate,1942-05-07,0,0,1942-04-13,1942-09-04,Plumage Archer,0.050,*,*,1.025,1.561,*
1927,fallow,11,b,*,11b,None,0.000,*,*,0,0,*,*,*,0.050,*,*,*,*,10
1928,fallow,11,b,*,11b,None,0.000,*,*,0,0,*,*,*,0.050,*,*,*,*,10
1929,spring barley,11,b,*,11b,None,0.000,*,*,0,0,1929-03-21,1929-08-20,Plumage Archer,0.050,23.995,65.978,2.117,2.107,*
1930,spring barley,11,b,*,11b,None,0.000,*,*,0,0,1930-03-03,1930-08-25,Plumage Archer,0.050,21.546,59.243,1.192,1.101,*
1931,spring barley,11,b,*,11b,None,0.000,*,*,0,0,1931-03-19,1931-08-24,Plumage ,0.025,19.414,53.381,0.994,2.671,"1,3"
1931,spring barley,11,b,*,11b,None,0.000,*,*,0,0,1931-03-19,1931-08-24,Archer,0.025,20.185,55.501,1.260,2.775,"1,3"
1932,spring barley,11,b,*,11b,None,0.000,*,*,0,0,1932-03-16,1932-08-20,Plumage ,0.025,18.598,51.136,0.501,1.624,3
1932,spring barley,11,b,*,11b,None,0.000,*,*,0,0,1932-03-16,1932-08-20,Archer,0.025,20.412,56.125,0.595,1.727,3
1933,spring barley,11,b,*,11b,None,0.000,*,*,0,0,1933-03-23,1933-08-08,Plumage Archer,0.050,*,*,0.164,2.182,6
1934,fallow,11,b,*,11b,None,0.000,*,*,0,0,*,*,*,0.050,*,*,*,*,10
1935,fallow,11,b,*,11b,None,0.000,*,*,0,0,*,*,*,0.050,*,*,*,*,10
1936,spring barley,11,b,*,11b,None,0.000,*,*,0,0,1936-03-19,1936-09-01,Plumage Archer,0.050,22.499,61.862,1.713,2.704,7
1937,spring barley,11,b,*,11b,None,0.000,*,*,0,0,1937-03-31,1937-08-23,Plumage Archer,0.050,22.000,60.490,0.318,0.791,8
1938,spring barley,11,b,*,11b,None,0.000,*,*,0,0,1938-02-24,1938-08-23,Plumage Archer,0.050,24.721,67.973,1.127,0.937,*
1939,spring barley,11,b,*,11b,None,0.000,*,*,0,0,1939-02-27,1939-08-17,Plumage Archer,0.050,*,*,0.749,1.832,*
1940,spring barley,11,b,*,11b,None,0.000,*,*,0,0,1940-03-09,1940-08-08,Plumage Archer,0.050,*,*,0.151,1.022,*
1941,spring barley,11,b,*,11b,N,52.687,ammonium sulphate,1941-03-21,0,0,1941-03-18,1941-09-10,Plumage Archer,0.050,*,*,0.993,0.982,*
1942,spring barley,11,b,*,11b,N,52.687,ammonium sulphate,1942-05-07,0,0,1942-04-13,1942-09-04,Plumage Archer,0.050,*,*,1.574,2.139,*
